# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Mar 25 12:15:35 2022
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1)
# CONSTRAINT:  order by pl_rade desc
#
# COLUMN pl_name:        Planet Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_gaiamag:     Gaia Magnitude
#
pl_name,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_spectype,st_teff,st_rad,st_mass,st_met,st_logg,sy_dist,sy_vmag,sy_kmag,sy_gaiamag
WTS-1 b,1,1,1,Transit,2012,United Kingdom Infrared Telescope,0,3.35205700,0.047000,16.700,1.490,1274.44000,4.01000,Mass,0.100000,,1500,0,F6 V,6250.00,1.15,1.20,-0.500,4.40,2346.0100000,16.6440000,15.2710000,16.4299000
CoRoT-1 b,1,1,1,Transit,2008,CoRoT,0,1.50895570,,16.700,1.490,327.35000,1.03000,Mass,0.000000,,1898,0,G0 V,5950.00,1.11,0.95,-0.300,4.25,787.9090000,13.6230000,12.1490000,13.4570000
TOI-163 b,1,1,1,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),0,4.23130600,0.058000,16.690,1.489,387.75260,1.22000,Mass,0.000000,,1669,0,F,6495.00,1.65,1.44,0.220,4.19,411.7190000,11.4670000,10.1240000,11.2193000
WASP-1 b,1,2,1,Transit,2007,SuperWASP,0,2.51994540,0.038890,16.623,1.483,271.41500,0.85400,Mass,0.000000,,,0,,,1.47,1.24,,,393.0720000,11.3080000,10.2760000,11.5349000
NGTS-3 A b,1,2,1,Transit,2018,Paranal Observatory,0,1.67537280,0.023000,16.589,1.480,756.43540,2.38000,Mass,,,,0,G6 V,5600.00,0.93,1.02,0.120,,743.9720000,14.6690000,12.8140000,14.4878000
HAT-P-6 b,1,1,1,Transit,2007,HATNet,0,3.85298000,,16.589,1.480,419.53560,1.32000,Mass,0.000000,,,0,,6570.00,1.62,1.79,-0.130,4.22,275.3580000,10.4690000,9.3130000,10.3056000
Kepler-718 b,1,1,1,Transit,2016,Kepler,0,2.05234990,,16.560,1.477,,,,,,,0,,6191.00,1.30,1.18,0.060,4.28,1302.3300000,15.3990000,13.6040000,15.2456000
WASP-120 b,1,1,1,Transit,2016,SuperWASP,0,3.61127060,0.051400,16.511,1.473,1541.47550,4.85000,Mass,0.057000,,1880,0,F5,6450.00,1.87,1.39,-0.050,4.04,381.1740000,10.9600000,9.8770000,10.8989000
WASP-183 b,1,1,1,Transit,2019,SuperWASP,0,4.11177710,0.046320,16.477,1.470,159.55066,0.50200,Mass,,,1111,0,G9,5313.00,0.87,0.78,-0.310,4.45,325.3770000,13.0810000,11.2070000,12.8148000
GPX-1 b,1,1,1,Transit,2021,Acton Sky Portal Observatory,0,1.74457900,0.033800,16.477,1.470,6261.21962,19.70000,Mass,0.000000,4650.00,2300,0,F2,7000.00,1.56,1.68,0.350,4.27,655.0130000,12.3160000,11.1810000,12.2228000
CoRoT-2 b,1,2,1,Transit,2008,CoRoT,0,1.74299350,0.027980,16.432,1.466,1102.82000,3.47000,Mass,0.014300,,,1,,5625.00,0.91,0.96,,,213.2830000,12.5160000,10.3100000,12.2489000
HATS-35 b,1,1,1,Transit,2016,HATSouth,0,1.82099930,0.031990,16.410,1.464,388.38826,1.22200,Mass,0.306000,,2037,0,,6300.00,1.43,1.32,0.210,4.24,514.5550000,12.6090000,11.1180000,12.4605000
WASP-20 b,1,2,1,Transit,2015,SuperWASP,0,4.89962840,0.060000,16.388,1.462,98.84100,0.31100,Mass,0.000000,,1379,0,F9,5940.00,1.39,1.20,-0.008,4.23,211.8770000,10.6750000,9.3900000,10.6503000
WASP-92 b,1,1,1,Transit,2016,SuperWASP,0,2.17467420,0.034800,16.376,1.461,255.85315,0.80500,Mass,0.000000,,1871,0,F7,6280.00,1.34,1.19,0.000,4.26,575.8890000,12.9510000,11.5190000,12.8183000
WASP-88 b,1,1,1,Transit,2014,SuperWASP,0,4.95400000,,16.365,1.460,133.48860,0.42000,Mass,0.000000,,,0,,6430.00,1.80,0.94,-0.080,3.96,523.7560000,11.3880000,10.3220000,11.4780000
CoRoT-31 b,1,1,1,Transit,2020,CoRoT,0,4.62941000,0.058600,16.365,1.460,266.97720,0.84000,Mass,0.020000,,,0,G2 IV,5700.00,2.15,1.25,0.000,3.85,2005.7600000,15.4790000,13.4260000,15.4655000
Kepler-433 b,1,1,1,Transit,2015,Kepler,0,5.33408384,0.067900,16.250,1.450,896.24000,2.82000,Mass,0.119000,,1776,0,,6360.00,2.26,1.46,-0.010,3.89,1878.3100000,14.7170000,12.8260000,14.4163000
K2-237 b,1,1,1,Transit,2018,K2,0,2.18053539,0.035580,16.197,1.445,433.20012,1.36300,Mass,0.042000,1860.00,1828,0,,6360.00,1.26,1.26,0.137,4.34,314.9950000,11.6020000,10.2170000,11.4668000
WASP-140 b,1,2,1,Transit,2016,SuperWASP-South,0,2.23598350,0.032300,16.141,1.440,775.50520,2.44000,Mass,0.047000,,1320,0,K0,5260.00,0.87,0.90,0.120,4.51,117.5980000,11.1180000,9.1650000,10.8202000
WASP-118 b,1,1,1,Transit,2016,SuperWASP,0,4.04604350,0.054530,16.141,1.440,163.36462,0.51400,Mass,0.000000,,1729,0,F6,6410.00,1.70,1.32,0.160,4.10,376.6580000,11.0090000,9.7880000,10.9196000
TOI-1789 b,1,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0,3.20866400,0.048820,16.141,1.440,222.47988,0.70000,Mass,,2300.00,1927,0,F,5991.00,2.17,1.51,0.373,3.94,229.0670000,9.7210000,8.3450000,9.5843900
HD 2685 b,1,1,1,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),0,4.12688000,0.056800,16.141,1.440,371.86110,1.17000,Mass,0.091000,,2061,0,,6801.00,1.56,1.43,0.020,4.21,196.8520000,9.5950000,8.5950000,9.5202500
HAT-P-30 b,1,2,1,Transit,2011,HATNet,0,2.81060000,,16.141,1.440,263.79890,0.83000,Mass,0.040000,,,0,,6304.00,1.31,1.55,0.130,4.36,213.9850000,10.3520000,9.1510000,10.2998000
2MASS J02192210-3925225 b,1,1,1,Imaging,2015,Cerro Tololo Inter-American Observatory,0,,156.000000,16.141,1.440,4417.83700,13.90000,Mass,,,,0,M6,3064.00,0.28,0.11,,4.59,,,10.4040000,15.0123000
CoRoT-12 b,1,1,1,Transit,2010,CoRoT,0,2.82804200,0.040160,16.140,1.440,291.43800,0.91700,Mass,0.070000,,1442,0,,5675.00,1.12,1.08,0.160,4.38,1126.3700000,15.5880000,13.5570000,15.3453000
WASP-174 b,1,1,1,Transit,2018,SuperWASP-South,0,4.23370050,0.055030,16.107,1.437,104.88337,0.33000,Mass,0.000000,901.90,1528,0,,6399.00,1.35,1.24,0.060,4.27,410.1490000,11.8030000,10.5790000,11.6826000
CoRoT-11 b,1,1,1,Transit,2010,CoRoT,0,2.99433000,0.043600,16.030,1.430,740.51000,2.33000,Mass,0.000000,,1657,0,F6 V,6440.00,1.37,1.27,-0.030,4.22,655.0370000,12.8970000,11.2480000,12.8410000
WASP-58 b,1,2,1,Transit,2012,SuperWASP,0,5.01718000,,16.029,1.430,308.29510,0.97000,Mass,0.000000,,,0,,5800.00,1.22,1.06,-0.450,4.27,290.4040000,11.6520000,10.2850000,11.6347000
WASP-101 b,1,1,1,Transit,2014,SuperWASP,0,3.58572000,,16.029,1.430,162.09330,0.51000,Mass,0.000000,,,0,,6380.00,1.31,1.41,0.200,4.31,201.2240000,10.3360000,9.0750000,10.1380000
HATS-34 b,1,1,1,Transit,2016,HATSouth,0,2.10616070,0.031660,16.029,1.430,299.07803,0.94100,Mass,0.108000,,1445,0,,5380.00,0.98,0.95,0.250,4.43,508.8420000,13.8570000,12.0950000,13.6790000
WASP-81 b,1,1,1,Transit,2017,Multiple Facilities,0,2.71647620,0.039080,16.018,1.429,231.69807,0.72900,Mass,0.066000,,1623,0,,5870.00,1.28,1.08,-0.360,4.26,398.5050000,12.4690000,10.8920000,12.3326000
Kepler-5 b,1,1,1,Transit,2009,Kepler,0,3.54846570,0.053800,15.984,1.426,670.93913,2.11100,Mass,,,1750,0,,6297.00,1.79,1.37,0.040,3.96,899.7770000,13.3250000,11.7690000,13.2263000
HAT-P-45 b,1,1,1,Transit,2014,HATNet,0,3.12899200,0.045200,15.984,1.426,283.49200,0.89200,Mass,0.049000,,1652,0,,6330.00,1.32,1.26,0.070,4.30,298.6400000,12.7830000,10.2010000,12.3977000
K2-107 b,1,1,1,Transit,2017,K2,0,3.31395900,0.047500,15.980,1.426,,,,,,1649,0,,6061.00,1.81,1.30,0.140,4.04,685.2000000,13.0120000,11.2100000,12.7669000
WASP-73 b,1,1,1,Transit,2014,SuperWASP,0,4.08722000,,15.917,1.420,908.99380,2.86000,Mass,0.000000,,,0,,6030.00,2.55,2.52,0.140,3.93,316.6780000,10.4680000,9.0280000,10.2607000
WASP-3 b,1,3,1,Transit,2007,SuperWASP,0,1.84683000,,15.917,1.420,772.32690,2.43000,Mass,0.000000,,,0,,6400.00,1.44,1.62,0.000,4.25,231.1610000,10.6320000,9.3610000,10.4525000
HAT-P-14 b,1,2,1,Transit,2010,HATNet,0,4.62767000,,15.917,1.420,1093.33520,3.44000,Mass,0.110000,,,0,,6600.00,1.82,2.65,0.110,4.25,222.6630000,9.9880000,8.8510000,9.8728300
Kepler-8 b,1,1,1,Transit,2010,Kepler,0,3.52249910,0.047400,15.872,1.416,187.51970,0.59000,Mass,,,1680,0,,6213.00,1.49,1.21,-0.055,4.17,1021.8700000,13.5980000,12.2930000,13.5299000
WASP-19 b,1,1,1,Transit,2009,SuperWASP,0,0.78883852,0.016520,15.861,1.415,366.77398,1.15400,Mass,0.012600,3320.00,2113,0,,5616.00,1.01,0.96,0.040,4.42,268.3250000,12.2480000,10.4810000,12.1088000
KELT-16 b,1,2,1,Transit,2017,KELT,0,0.96899510,0.020440,15.861,1.415,874.03250,2.75000,Mass,0.000000,,2453,0,F7 V,6236.00,1.36,1.21,-0.002,4.25,444.5860000,11.7170000,10.6420000,11.7959000
HATS-66 b,1,1,1,Transit,2018,HATSouth,0,3.14143910,0.047140,15.816,1.411,1694.03390,5.33000,Mass,0.064000,2637.00,1998,0,,6626.00,1.84,1.41,-0.017,4.06,1477.9800000,14.2830000,12.7610000,14.0086000
XO-3 b,1,1,1,Transit,2007,XO,0,3.19154000,,15.805,1.410,2316.98070,7.29000,Mass,0.290000,,,0,,6429.00,1.54,0.58,-0.180,3.95,213.0530000,9.8540000,8.7910000,9.7388900
WASP-63 b,1,1,1,Transit,2012,SuperWASP,0,4.37808000,,15.805,1.410,117.59710,0.37000,Mass,0.000000,,,0,,5550.00,1.86,1.28,0.080,4.01,290.6840000,11.1550000,9.3930000,10.9185000
WASP-61 b,1,1,1,Transit,2012,SuperWASP,0,3.85590000,,15.805,1.410,851.78440,2.68000,Mass,0.000000,,,0,,6250.00,1.55,1.82,-0.100,4.26,488.6600000,12.4890000,11.0080000,12.0702000
WASP-15 b,1,1,1,Transit,2009,SuperWASP,0,3.75210000,,15.805,1.410,171.62820,0.54000,Mass,0.000000,,,0,,6300.00,1.48,1.18,-0.170,4.35,282.0910000,10.9720000,9.6930000,10.7970000
HATS-51 b,1,1,1,Transit,2017,HATSouth,0,3.34887020,0.046390,15.805,1.410,244.09344,0.76800,Mass,0.330000,,1553,0,,5758.00,1.44,1.19,,4.20,389.5700000,12.5250000,10.8670000,12.3293000
WASP-113 b,1,1,1,Transit,2016,SuperWASP-North,0,4.54216875,0.058850,15.793,1.409,150.96925,0.47500,Mass,0.000000,,1496,0,G1,5890.00,1.61,1.32,0.100,4.20,435.1560000,11.7610000,10.3110000,11.6041000
Kepler-488 b,1,1,1,Transit,2016,Kepler,0,3.12082923,,15.790,1.409,,,,,,,0,,5970.00,1.09,1.07,0.030,4.39,1145.2800000,14.8680000,13.4120000,14.7515000
WASP-66 b,1,1,1,Transit,2012,SuperWASP,0,4.08605000,,15.693,1.400,746.90050,2.35000,Mass,0.000000,,,0,,6600.00,1.76,1.33,-0.310,4.30,500.2580000,11.6050000,10.4520000,11.5904000
WASP-119 b,1,1,1,Transit,2016,SuperWASP-South,0,2.49979000,0.036300,15.693,1.400,390.93090,1.23000,Mass,0.058000,,1600,0,G5,5650.00,1.20,1.02,0.140,4.26,302.4480000,12.3140000,10.5450000,12.1014000
HATS-42 b,1,1,1,Transit,2018,HATSouth,0,2.29210200,0.036890,15.693,1.400,597.52040,1.88000,Mass,0.229000,,1856,0,,6060.00,1.48,1.27,0.220,4.20,800.3770000,13.6820000,12.2450000,13.5627000
HAT-P-8 b,1,3,1,Transit,2008,HATNet,0,3.07634000,,15.693,1.400,406.82240,1.28000,Mass,0.000000,,,0,,6200.00,1.57,1.27,0.010,4.15,211.5530000,10.3580000,8.9530000,10.1489000
KELT-10 b,1,1,1,Transit,2016,KELT-South,0,4.16627390,0.052500,15.681,1.399,215.80657,0.67900,Mass,,600.00,1377,0,G0 V,5948.00,1.21,1.11,0.090,4.32,188.4040000,10.6170000,9.3380000,10.7009000
TOI-1333 b,1,2,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0,4.72021900,0.062600,15.648,1.396,753.25710,2.37000,Mass,0.073000,,1679,0,,6274.00,1.93,1.46,0.119,4.03,200.4920000,9.4380000,8.2720000,9.3503900
HATS-24 b,1,1,1,Transit,2017,HATSouth,0,1.34849780,0.023800,15.637,1.395,718.29580,2.26000,Mass,0.000000,,2166,0,,6125.00,1.12,1.07,-0.229,4.37,494.1820000,12.9150000,11.3820000,12.6911000
HAT-P-9 b,1,1,1,Transit,2008,HATNet,0,3.92281072,0.052870,15.614,1.393,238.05467,0.74900,Mass,0.084000,931.00,1540,0,,6350.00,1.34,1.28,0.120,4.29,455.2030000,12.3440000,11.0150000,12.1536000
HD 209458 b,1,1,1,Radial Velocity,1999,W. M. Keck Observatory,0,3.52474859,,15.581,1.390,232.01590,0.73000,Mass,0.000000,,,0,,6091.00,1.19,1.23,0.010,4.45,48.3016000,7.6500000,6.3080000,7.5086600
CoRoT-5 b,1,1,1,Transit,2009,CoRoT,0,4.03789620,0.049470,15.558,1.388,148.42000,0.46700,Mass,0.090000,,1438,0,F9 V,6100.00,1.19,1.00,-0.250,4.19,882.4720000,14.0430000,12.5460000,13.9021000
WASP-87 b,1,2,1,Transit,2016,Anglo-Australian Telescope,0,1.68279500,0.029460,15.524,1.385,692.86940,2.18000,Mass,0.000000,,,0,,6450.00,1.63,1.20,,,298.3920000,10.7270000,9.5520000,10.7091000
HATS-70 b,1,1,1,Transit,2019,HATSouth,0,1.88823780,0.036320,15.513,1.384,4100.00700,12.90000,Mass,0.180000,9110.00,2730,0,,7930.00,1.88,1.78,0.041,4.17,1458.8300000,12.2270000,12.0400000,12.5860000
HATS-52 b,1,1,1,Transit,2017,HATSouth,0,1.36665436,0.024980,15.491,1.382,711.93920,2.24000,Mass,0.246000,,1834,0,,6010.00,1.05,1.11,,4.45,555.1340000,13.8440000,12.1140000,13.6269000
HATS-3 b,1,1,1,Transit,2013,HATSouth,0,3.54785100,0.048500,15.480,1.381,340.38200,1.07100,Mass,0.000000,,1648,0,F,6351.00,1.40,1.21,-0.157,4.22,411.2110000,12.4330000,10.6940000,11.8914000
WASP-24 b,1,3,1,Transit,2010,SuperWASP,0,2.34121000,,15.468,1.380,394.10920,1.24000,Mass,0.000000,,,0,,6075.00,1.42,1.43,0.000,4.26,322.1140000,11.2190000,10.1480000,11.3945000
WASP-159 b,1,1,1,Transit,2018,SuperWASP-South,0,3.84040100,0.053800,15.468,1.380,174.80650,0.55000,Mass,0.000000,,1850,0,F9,6120.00,2.11,1.41,0.220,3.94,715.3830000,12.8360000,11.0170000,12.2951000
WASP-14 b,1,3,1,Transit,2008,SuperWASP,0,2.24375000,,15.468,1.380,2809.61720,8.84000,Mass,0.090000,,,0,,6475.00,1.40,1.62,0.000,4.07,161.9970000,9.7450000,8.6210000,9.6464700
WASP-136 b,1,1,1,Transit,2016,SuperWASP,0,5.21535700,0.066100,15.468,1.380,479.92330,1.51000,Mass,,,1742,0,,6260.00,2.21,1.41,-0.180,3.90,275.5870000,9.9740000,8.8050000,9.8192900
XO-7 b,1,1,1,Transit,2019,XO,0,2.86414240,0.044210,15.390,1.373,225.34147,0.70900,Mass,0.038000,1540.00,1743,0,G0 V,6250.00,1.48,1.41,0.432,4.25,234.1490000,10.5210000,9.2410000,10.4575000
Kepler-91 b,1,1,1,Transit,2013,Kepler,0,6.24658000,0.073100,15.323,1.367,257.44230,0.81000,Mass,,,2040,0,,4550.00,6.30,1.31,0.110,2.95,1294.6900000,12.7120000,10.1360000,12.4762000
WTS-2 b,1,1,1,Transit,2014,United Kingdom Infrared Telescope,0,1.01870680,0.018550,15.278,1.363,355.96960,1.12000,Mass,0.000000,,2000,0,K2 V,5000.00,0.75,0.82,0.200,4.60,,15.9540000,13.4140000,15.5965000
OGLE-TR-56 b,1,1,1,Transit,2002,OGLE,0,1.21191890,0.023830,15.278,1.363,441.77000,1.39000,Mass,,,2212,0,,6050.00,,,,,,15.3000000,,
WASP-74 b,1,1,1,Transit,2015,SuperWASP,0,2.13775000,,15.244,1.360,228.83760,0.72000,Mass,0.000000,,,0,,5990.00,1.42,0.98,0.390,4.39,149.2160000,9.7500000,8.2210000,9.5723000
TrES-2 b,1,2,1,Transit,2006,TrES,0,2.47063000,,15.244,1.360,473.56670,1.49000,Mass,0.000000,,,0,,5850.00,1.12,1.36,-0.150,4.43,215.3200000,11.2540000,9.8460000,11.2819000
OGLE-TR-211 b,1,1,1,Transit,2007,OGLE,0,3.67724000,0.051000,15.244,1.360,327.35100,1.03000,Mass,0.000000,,,0,,6325.00,1.64,1.33,,,1515.2600000,15.3640000,13.3790000,15.0702000
Kepler-76 b,1,1,1,Orbital Brightness Modulation,2013,Kepler,0,1.54492980,0.027400,15.244,1.360,638.83830,2.01000,Mass,,,2140,0,,6409.00,1.32,1.20,-0.100,4.20,822.9600000,13.4740000,12.0920000,13.2755000
KELT-2 A b,1,2,1,Transit,2012,KELT,0,4.11379000,,15.132,1.350,540.31100,1.70000,Mass,0.000000,,,0,,6327.00,1.93,1.54,0.000,4.50,134.0580000,8.6800000,7.3460000,8.5839300
KELT-11 b,1,1,1,Transit,2017,KELT-South,0,4.73610000,,15.132,1.350,54.34893,0.17100,Mass,0.000700,,,0,,5375.00,2.69,1.44,0.170,3.70,99.1596000,8.0400000,6.1220000,7.8311200
Kepler-493 b,1,1,1,Transit,2016,Kepler,0,3.00387658,,15.130,1.350,,,,,,,0,,6457.00,1.54,1.36,0.110,4.19,1745.7700000,15.2680000,13.7270000,15.0352000
TOI-2109 b,1,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0,0.67247414,0.017910,15.098,1.347,1595.49860,5.02000,Mass,,,3646,0,F,6540.00,1.70,1.45,0.068,4.14,262.0410000,10.2170000,9.0700000,10.1138000
Kepler-412 b,1,1,1,Transit,2014,Kepler,0,1.72086040,0.028970,15.031,1.341,299.07803,0.94100,Mass,,,1850,1,,5750.00,1.29,1.17,0.270,4.30,1086.2400000,14.3990000,12.8370000,14.2486000
HATS-53 b,1,1,1,Transit,2017,HATSouth,0,3.85377680,0.047530,15.020,1.340,189.10885,0.59500,Mass,0.330000,,1312,0,,5644.00,1.10,0.96,,4.34,585.7700000,13.9440000,12.0460000,13.6564000
WASP-114 b,1,2,1,Transit,2016,SuperWASP-North,0,1.54877430,0.028510,15.009,1.339,562.24127,1.76900,Mass,0.012000,,2043,0,G0,5940.00,1.43,1.29,0.140,4.30,523.3370000,12.6850000,11.0740000,12.5227000
TrES-3 b,1,1,1,Transit,2007,TrES,0,1.30618581,0.022820,14.975,1.336,607.03000,1.91000,Mass,0.000000,,,0,,5650.00,0.83,0.93,,,231.3370000,12.3620000,10.6080000,12.1995000
Kepler-471 b,1,1,1,Transit,2016,Kepler,0,5.01423457,,14.960,1.335,,,,,,,0,,6733.00,1.80,1.49,0.070,4.10,1249.4100000,13.7670000,12.5620000,13.7887000
HAT-P-58 b,1,1,1,Transit,2021,HATNet,0,4.01383790,0.049940,14.930,1.332,118.23217,0.37200,Mass,0.073000,1146.00,1622,0,,6078.00,1.53,1.03,-0.224,4.08,515.5900000,12.9250000,10.9780000,12.7202000
HAT-P-35 b,1,3,1,Transit,2011,HATNet,0,3.64670600,0.049780,14.930,1.332,335.62848,1.05600,Mass,0.020000,,,0,,6096.00,1.44,1.24,0.110,,506.9650000,12.3890000,11.0300000,12.2802000
WASP-7 b,1,1,1,Transit,2008,SuperWASP,0,4.95464160,0.061700,14.908,1.330,305.11680,0.96000,Mass,,,1487,0,,6400.00,1.43,1.28,0.000,4.23,162.3030000,9.5040000,8.3960000,9.3767100
WASP-55 b,1,2,1,Transit,2012,SuperWASP,0,4.46563000,,14.908,1.330,193.87630,0.61000,Mass,0.000000,,,0,,5900.00,1.09,1.11,-0.200,4.30,297.4620000,11.7530000,10.3960000,11.7747000
WASP-184 b,1,1,1,Transit,2019,WASP-South,0,5.18170000,0.062700,14.908,1.330,181.16310,0.57000,Mass,0.000000,,1480,0,G0 V,6000.00,1.65,1.23,0.120,4.09,663.2310000,12.7710000,11.2620000,12.5673000
WASP-100 b,1,2,1,Transit,2014,SuperWASP,0,2.84938000,,14.908,1.330,400.46580,1.26000,Mass,0.000000,,,0,,6900.00,1.57,0.77,-0.030,4.35,364.4110000,10.7980000,9.6690000,10.6151000
NGTS-1 b,1,1,1,Transit,2017,Paranal Observatory,0,2.64729800,0.032600,14.908,1.330,258.07796,0.81200,Mass,0.016000,65.30,790,0,M0.5,3916.00,0.57,0.62,0.000,4.71,218.1210000,15.6670000,11.9360000,14.8661000
HATS-41 b,1,1,1,Transit,2018,HATSouth,0,4.19364900,0.058300,14.908,1.330,3082.95100,9.70000,Mass,0.380000,,1710,0,,6424.00,1.71,1.50,0.470,4.14,737.6680000,12.6780000,11.4980000,12.5892000
HATS-18 b,1,1,1,Transit,2016,Multiple Observatories,0,0.83784000,0.017400,14.897,1.329,629.14449,1.97950,Mass,,,2069,0,,5600.00,1.02,1.04,,,624.3680000,14.1880000,12.2890000,13.8786000
WASP-36 b,1,2,1,Transit,2011,SuperWASP,0,1.53736596,0.026770,14.874,1.327,750.39663,2.36100,Mass,,,1733,0,,5959.00,0.98,1.08,-0.260,4.49,386.3460000,12.8360000,11.2940000,12.6284000
NGTS-6 b,1,1,1,Transit,2019,Paranal Observatory,0,0.88205900,0.016770,14.863,1.326,425.57437,1.33900,Mass,0.000000,,1284,0,,4730.00,0.75,0.77,0.110,4.70,308.2620000,14.2370000,11.6500000,13.8175000
KELT-23 A b,1,2,1,Transit,2019,KELT-North,0,2.25525100,0.033020,14.830,1.323,298.12454,0.93800,Mass,0.000000,991.18,1561,0,G2 V,5899.00,1.00,0.94,-0.105,4.42,126.2610000,10.3080000,8.9040000,10.1820000
WASP-4 b,1,1,1,Transit,2007,SuperWASP,0,1.33823147,0.022600,14.807,1.321,376.94638,1.18600,Mass,0.000000,,,0,,5400.00,0.89,0.86,-0.070,4.47,267.2060000,12.4830000,10.7460000,12.3162000
WASP-68 b,1,2,1,Transit,2014,SuperWASP,0,5.08430000,,14.796,1.320,343.25640,1.08000,Mass,0.000000,,,0,,5910.00,1.79,1.49,0.220,4.17,226.3990000,10.6740000,8.9480000,10.4092000
WASP-62 b,1,1,1,Transit,2012,SuperWASP,0,4.41195000,,14.796,1.320,165.27160,0.52000,Mass,0.000000,,,0,,6230.00,1.23,1.11,0.040,4.45,175.6310000,10.2130000,8.9440000,10.0721000
HAT-P-1 b,1,2,1,Transit,2006,HATNet,0,4.46529976,0.055610,14.785,1.319,166.86075,0.52500,Mass,,,1322,0,,5980.00,1.17,1.15,0.130,4.36,158.9790000,9.8270000,8.8580000,10.1786000
WASP-123 b,1,2,1,Transit,2016,SuperWASP,0,2.97764120,0.042630,14.773,1.318,285.72917,0.89900,Mass,0.000000,,1520,0,G5,5740.00,1.28,1.17,0.180,4.29,197.9960000,11.0300000,9.3620010,10.8999000
HAT-P-53 b,1,1,1,Transit,2015,HATNet,0,1.96162410,0.031590,14.773,1.318,471.65972,1.48400,Mass,0.134000,,1778,0,,5956.00,1.21,1.09,0.000,4.31,666.8020000,13.7800000,12.1000000,13.5142000
WASP-127 b,1,2,1,Transit,2016,SuperWASP,0,4.17806203,0.048400,14.695,1.311,52.34660,0.16470,Mass,0.000000,,,0,,,1.33,0.95,,,159.5070000,10.1480000,8.6410000,10.0540000
BD+60 1417 b,1,1,1,Imaging,2021,Wide-field Infrared Survey Explorer (WISE) Sat,0,,1662.000000,14.684,1.310,4767.42610,15.00000,Mass,,,1303,0,K0,4993.00,0.80,1.00,,4.55,44.9543000,9.3740000,7.2880000,9.1743900
Kepler-17 b,1,1,1,Transit,2011,Kepler,0,1.48571080,0.025910,14.680,1.310,778.65000,2.45000,Mass,0.011000,,1570,1,,5781.00,1.01,1.04,0.260,4.45,720.7530000,14.3140000,12.5850000,14.1311000
CoRoT-18 b,1,1,1,Transit,2011,CoRoT,0,1.90006930,0.029500,14.680,1.310,1102.82000,3.47000,Mass,0.080000,,1550,0,G9 V,5440.00,1.00,0.95,-0.100,4.40,764.8890000,14.8680000,13.0140000,14.8009000
WASP-169 b,1,1,1,Transit,2019,WASP-South,0,5.61141180,0.068100,14.617,1.304,178.30263,0.56100,Mass,0.000000,,1604,0,F8,6110.00,2.01,1.34,0.060,3.96,627.0660000,12.1670000,10.4830000,11.7206000
Kepler-6 b,1,1,1,Transit,2009,Kepler,0,3.23469960,0.048520,14.617,1.304,212.31044,0.66800,Mass,,,1460,0,,5647.00,1.39,1.21,0.340,4.24,587.0390000,13.2860000,11.6340000,13.1714000
HATS-1 b,1,1,1,Transit,2012,HATSouth,0,3.44645900,0.044400,14.594,1.302,589.55000,1.85500,Mass,0.120000,,1359,0,,5870.00,1.04,0.99,,,283.9710000,12.1550000,10.5800000,11.9363000
